yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.023962,0.719577,0.793442,0.159203,5.840468,112.499967,856.249751,93.749967,256.249915,481.249875,1068.74969,17899.994428,0.000216
0.936328,0.045059,0.317717,0.411806,32.398034,74.999961,387.499881,49.999987,131.249954,206.24994,524.99982,24193.741573,0.000102
0.012321,0.035516,0.010129,0.83938,7.605343,0.0,81.249593,6.25,37.499825,37.499768,81.249593,756.244743,8.9e-05
0.05825,0.426345,0.111374,0.156502,33.535454,6.249992,168.749051,12.499987,56.249816,93.749256,212.498745,1362.492344,0.000265
0.599841,0.390209,0.002146,0.001659,5.315588,43.749481,318.668485,31.248584,93.738627,181.181444,387.400807,1074.764603,0.017912
0.097211,0.018267,0.859388,0.043804,30.530701,6.249999,131.249812,6.249999,99.999853,24.999961,174.999785,7449.987973,8.9e-05
0.56846,0.122978,0.865098,0.026239,6.31799,93.749988,487.499929,62.499993,181.249966,224.999971,637.499905,31818.745064,0.000122
0.073612,0.711425,0.164255,0.590892,7.920895,6.249993,412.499009,18.749942,187.499492,199.999582,481.248797,2643.743097,0.000298
0.0,0.0,0.146018,0.045821,6.415865,149.999658,624.99841,37.499877,318.749202,249.999384,899.997766,9606.224871,0.000996
0.504711,0.355053,0.019518,0.730613,25.037076,31.249972,643.749125,74.999856,262.499654,299.999623,806.248942,5268.743423,0.000431
0.0,0.0,0.141598,0.03121,6.065374,118.749688,599.998208,62.499848,312.498945,193.749449,787.497575,9849.965255,0.000922
0.0,0.0,0.140485,0.028823,5.996974,143.749366,618.747407,62.499567,331.248765,212.499142,887.496231,11743.702903,0.001056
0.0,0.0,0.138356,0.026203,5.891546,112.499736,712.498134,49.999903,343.749092,312.499141,956.247582,11918.724119,0.001158
0.0,0.0,0.129406,0.025831,5.637099,99.999775,506.248229,24.999894,212.499204,237.499205,687.497831,10768.709121,0.000886
0.0,0.0,0.09329,0.033022,5.0,62.499614,556.246973,6.249964,299.998491,231.248636,699.996074,7487.456004,0.001223
0.0,0.0,0.235656,0.009168,7.374015,81.249935,418.749442,62.499911,187.499777,156.249772,556.24931,17081.220409,0.000409
0.0,0.0,0.148913,0.033691,7.366394,87.499658,543.747805,43.749874,293.748847,181.249191,749.996922,9993.705163,0.000838
0.0,0.0,0.152755,0.029953,5.0,118.749681,587.498044,49.999887,312.498912,206.249311,837.497418,11056.216018,0.000911
0.0,0.0,0.16782,0.034347,5.0,156.249779,818.748714,68.749904,399.999385,299.999462,1012.498462,10831.231098,0.000993
0.0,0.0,0.220823,0.049115,5.0,118.749862,643.748918,106.249841,287.499459,237.499625,856.248693,11218.732566,0.000631
0.0,0.0,0.248367,0.044694,5.0,124.999723,674.998651,37.499937,418.749118,193.749668,849.998259,11918.724266,0.00056
0.113706,0.146813,0.491756,0.07286,5.0,93.749959,556.249793,68.749978,193.74993,268.7499,699.999732,16243.741804,0.000231
0.035102,0.116195,0.44509,0.071095,5.0,112.499866,806.249116,62.499908,306.249745,418.749504,1018.748889,14774.983224,0.000371
0.033755,0.131652,0.458103,0.073148,5.0,168.749884,806.249276,74.999934,337.499737,349.999639,1112.499011,15087.488044,0.000394
0.019986,0.051117,0.660956,0.101964,5.0,156.249914,818.749643,93.749949,343.749838,349.999869,1106.249488,18424.991059,0.000271
