yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.03937,0.821759,0.002878,6.3e-05,9.378491,24.999252,506.23214,24.99942,99.996758,374.986084,574.979717,868.723226,0.015635
0.936328,0.045059,0.317717,0.411806,32.398034,74.999961,387.499881,49.999987,131.249954,206.24994,524.99982,24193.741573,0.000102
0.06669,0.075195,6e-05,0.184854,11.661586,6.249917,112.497214,0.0,81.247581,31.249633,143.746425,518.728215,0.00072
0.023962,0.719577,0.793442,0.159203,5.840468,112.499967,856.249751,93.749967,256.249915,481.249875,1068.74969,17899.994428,0.000216
0.0,0.0,0.026575,0.015314,31.438896,0.0,0.0,0.0,0.0,0.0,0.0,218.460532,0.0
0.248256,0.733771,0.006574,0.355303,24.060352,31.249911,749.998369,37.499833,268.74944,437.499098,918.747991,2918.743585,0.000875
0.599841,0.390209,0.002146,0.001659,5.315588,43.749481,318.668485,31.248584,93.738627,181.181444,387.400807,1074.764603,0.017912
0.56846,0.122978,0.865098,0.026239,6.31799,93.749988,487.499929,62.499993,181.249966,224.999971,637.499905,31818.745064,0.000122
0.0,0.0,0.120573,0.855081,9.778718,12.49998,156.24971,0.0,93.749864,62.499846,193.749605,1618.746194,0.000123
0.003207,0.000191,0.00112,0.000226,29.490776,0.0,0.0,0.0,0.0,0.0,0.0,1034.055082,0.0
0.462336,0.280607,0.843799,0.096397,6.15345,118.749969,931.2498,81.249986,324.999922,499.999895,1187.499736,22824.995681,0.000229
0.500133,0.262592,0.857862,0.097819,6.275668,168.749966,993.749775,81.24999,337.499937,556.249849,1274.999718,23593.744681,0.000242
0.619418,0.219802,0.886597,0.113403,6.66218,112.499955,856.249732,87.499966,281.24991,456.249866,1031.249665,23556.242126,0.000188
0.521281,0.346907,1.0,0.0,16.269293,299.99994,1999.999612,199.999958,399.999929,1374.999728,2474.999513,39774.992272,0.000434
0.61124,0.246186,0.99061,0.00939,14.789568,231.249959,1356.249709,93.749989,231.249943,987.499784,1693.749641,39581.241341,0.000292
0.638049,0.237474,1.0,0.0,16.368097,237.499971,1693.749785,131.249984,437.499944,1062.499865,2062.499734,39649.995027,0.000357
0.661882,0.242817,1.0,0.0,19.053703,387.49996,2418.749773,168.749983,706.249935,1412.499868,2956.249722,37874.996225,0.00052
0.700632,0.212901,1.0,0.0,19.738117,424.999935,2074.999707,206.249966,593.74992,1193.749831,2656.249612,36574.994707,0.000468
0.735102,0.189872,1.0,0.0,20.663841,287.499905,2043.749434,149.999954,562.499845,1287.499642,2481.249292,37143.739687,0.000435
