yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.001916,0.000532,0.002247,0.134839,0.404671,0.422679,21.595305,0.0,6.249991,0.0,0.0,6.249991,6.249991,918.740613,7e-06
0.003868,0.011632,0.003692,0.32655,0.084894,0.206571,21.528982,0.0,49.999937,12.499987,18.749991,18.74996,56.249928,4618.740964,3.6e-05
0.006661,0.000558,0.047119,0.022193,0.137886,0.063846,5.923329,0.0,74.998962,6.249987,24.999524,43.749451,106.248662,837.489591,0.000381
0.012606,0.026494,0.099082,0.031166,0.00173,0.064205,18.590885,0.0,18.749712,0.0,0.0,18.749712,43.748405,3531.163198,0.000271
0.013194,0.234674,0.166395,0.115825,0.015425,0.13414,31.94959,0.0,37.499296,0.0,12.499912,24.999384,37.499296,581.242619,9.5e-05
0.022214,0.316605,0.27674,0.166239,0.022788,0.380073,18.152738,6.249976,24.999943,0.0,0.0,24.999943,37.499913,3262.484675,3.9e-05
0.024067,0.144849,0.03996,0.229147,0.141544,0.09562,24.033558,0.0,137.499624,0.0,49.99988,87.499744,162.499504,2724.992863,0.000146
0.117877,0.353542,0.140676,0.112699,0.234625,0.012184,24.336235,0.0,418.748389,31.249917,37.499814,349.998658,474.998249,1806.243163,0.000482
0.123389,0.023957,0.075735,0.097256,0.463091,0.139132,30.551993,18.749952,143.748908,6.249999,43.749769,87.499175,274.997952,4106.221095,0.000321
0.14016,0.017994,0.160415,0.052959,0.231131,0.005316,29.039261,6.249996,74.999773,0.0,18.74996,56.249814,131.249654,3887.491428,0.000176
0.169977,0.210762,0.210133,0.296651,0.059912,0.074856,30.865777,0.0,137.499557,6.249991,18.74999,112.499575,168.749413,3406.23964,0.000118
0.189747,0.349744,0.182564,0.002689,0.00789,0.001135,20.110062,12.499971,568.74857,12.499963,43.749908,499.998728,699.998171,1193.746937,0.002163
0.190313,0.091302,0.101826,0.368123,0.45543,0.102044,29.145976,12.499975,168.749688,6.249999,31.249977,124.999737,287.499499,3649.993659,0.000158
0.210316,0.122899,0.337423,0.052266,0.035734,0.275711,7.9593,0.0,18.74924,0.0,0.0,18.74924,24.999239,1631.230418,6.8e-05
0.211952,0.399449,0.166755,0.262722,0.021806,0.176951,9.157245,0.0,149.999777,12.499948,18.74995,118.749879,249.999675,8443.73837,0.000156
0.232363,0.170808,0.145642,0.11462,0.063541,0.245493,32.94622,18.749929,324.999381,12.499983,62.499849,243.749584,506.248995,4668.741583,0.000338
0.255381,0.022162,0.528651,0.539711,0.012913,0.161617,9.712295,0.0,212.499921,12.499987,6.249999,193.749934,549.999778,15831.243558,0.00017
0.269406,0.148833,0.163033,0.332693,0.109937,0.058694,22.585403,18.749971,574.9995,24.999989,43.749962,506.24955,793.749305,6812.494081,0.00039
0.39214,0.567737,0.016884,0.059799,0.163989,0.05902,14.221512,112.49934,1337.49459,24.999954,331.248632,956.246064,1668.743119,2737.488649,0.002356
0.440953,0.320074,0.183642,0.32115,0.443082,0.010002,22.911429,6.666664,913.332374,26.666632,39.999968,839.999111,1046.66553,4086.662369,0.000402
0.428,0.307,0.182,0.322,0.416,0.014,23.0,12.499996,893.749208,6.249999,93.749924,787.499287,1106.248975,4018.746037,0.000432
0.447,0.144,0.259,0.089,0.662,0.004,23.0,6.249999,493.74931,6.249999,37.499913,443.7494,668.749098,2668.746357,0.00039
0.487,0.513,0.0,0.0,0.0,0.918,17.0,16.666637,166.666002,24.999911,99.999618,41.666472,208.332494,2383.325203,0.000489
0.368,0.632,0.0,0.553,0.0,0.447,23.0,81.249898,881.248842,106.249857,293.749634,449.999371,1112.498517,11268.736405,0.000345
0.319,0.202,0.479,0.582,0.0,0.215,23.0,12.499985,212.499861,6.249996,18.749986,187.499879,362.499767,10424.993738,0.000116
0.417,0.583,0.0,0.087,0.364,0.0,15.0,118.749638,1087.496766,62.499814,387.498942,618.74808,1343.745991,3331.240862,0.001235
0.387,0.571,0.016,0.089,0.205,0.0,15.0,168.749675,1881.24487,56.249775,462.498856,1312.496369,2231.244192,3406.240845,0.002398
0.358,0.557,0.034,0.075,0.01,0.031,15.0,368.748412,2412.491579,118.749487,512.498324,1731.243995,3181.23848,5499.979882,0.005038
0.0,0.558,0.442,0.112,0.56,0.328,15.0,0.0,56.249936,6.249998,6.249984,43.749954,74.999772,943.748007,6.2e-05
0.369,0.631,0.0,0.991,0.0,0.0,7.0,74.999992,299.999955,0.0,99.999987,174.999971,399.999934,42774.994348,6.8e-05
0.307,0.533,0.039,0.072,0.0,0.0,15.0,449.998786,2674.991877,124.999661,568.748229,1874.99431,3387.489865,6818.729448,0.005903
0.0,0.435,0.05,0.013,0.0,0.0,15.0,12.499906,449.983918,6.249904,43.748551,387.485558,487.48272,2043.666647,0.004825
0.416,0.341,0.147,0.18,0.0,0.0,15.0,324.999579,2537.496566,168.749814,368.749486,1949.997303,3418.745287,10487.485114,0.002837
0.364,0.0,0.349,0.942,0.0,0.0,15.0,62.499977,743.749799,31.249995,31.249996,681.249809,2481.249307,32612.491287,0.000462
0.472,0.407,0.121,0.0,0.0,0.0,17.0,118.7497,1862.494185,74.999731,256.249154,1481.245441,2274.993035,1599.994888,0.005698
0.65,0.0,0.35,0.0,0.0,0.0,15.0,6.249994,456.249419,18.74992,6.249999,431.2495,1493.748316,1349.998628,0.004624
