yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.001916,0.000532,0.002247,0.134839,0.404671,0.422679,21.595305,0.0,6.249991,0.0,0.0,6.249991,6.249991,918.740613,7e-06
0.003868,0.011632,0.003692,0.32655,0.084894,0.206571,21.528982,0.0,49.999937,12.499987,18.749991,18.74996,56.249928,4618.740964,3.6e-05
0.006661,0.000558,0.047119,0.022193,0.137886,0.063846,5.923329,0.0,74.998962,6.249987,24.999524,43.749451,106.248662,837.489591,0.000381
0.012606,0.026494,0.099082,0.031166,0.00173,0.064205,18.590885,0.0,18.749712,0.0,0.0,18.749712,43.748405,3531.163198,0.000271
0.013194,0.234674,0.166395,0.115825,0.015425,0.13414,31.94959,0.0,37.499296,0.0,12.499912,24.999384,37.499296,581.242619,9.5e-05
0.022214,0.316605,0.27674,0.166239,0.022788,0.380073,18.152738,6.249976,24.999943,0.0,0.0,24.999943,37.499913,3262.484675,3.9e-05
0.024067,0.144849,0.03996,0.229147,0.141544,0.09562,24.033558,0.0,137.499624,0.0,49.99988,87.499744,162.499504,2724.992863,0.000146
0.117877,0.353542,0.140676,0.112699,0.234625,0.012184,24.336235,0.0,418.748389,31.249917,37.499814,349.998658,474.998249,1806.243163,0.000482
0.123389,0.023957,0.075735,0.097256,0.463091,0.139132,30.551993,18.749952,143.748908,6.249999,43.749769,87.499175,274.997952,4106.221095,0.000321
0.14016,0.017994,0.160415,0.052959,0.231131,0.005316,29.039261,6.249996,74.999773,0.0,18.74996,56.249814,131.249654,3887.491428,0.000176
0.169977,0.210762,0.210133,0.296651,0.059912,0.074856,30.865777,0.0,137.499557,6.249991,18.74999,112.499575,168.749413,3406.23964,0.000118
0.189747,0.349744,0.182564,0.002689,0.00789,0.001135,20.110062,12.499971,568.74857,12.499963,43.749908,499.998728,699.998171,1193.746937,0.002163
0.190313,0.091302,0.101826,0.368123,0.45543,0.102044,29.145976,12.499975,168.749688,6.249999,31.249977,124.999737,287.499499,3649.993659,0.000158
0.210316,0.122899,0.337423,0.052266,0.035734,0.275711,7.9593,0.0,18.74924,0.0,0.0,18.74924,24.999239,1631.230418,6.8e-05
0.211952,0.399449,0.166755,0.262722,0.021806,0.176951,9.157245,0.0,149.999777,12.499948,18.74995,118.749879,249.999675,8443.73837,0.000156
0.232363,0.170808,0.145642,0.11462,0.063541,0.245493,32.94622,18.749929,324.999381,12.499983,62.499849,243.749584,506.248995,4668.741583,0.000338
0.255381,0.022162,0.528651,0.539711,0.012913,0.161617,9.712295,0.0,212.499921,12.499987,6.249999,193.749934,549.999778,15831.243558,0.00017
0.269406,0.148833,0.163033,0.332693,0.109937,0.058694,22.585403,18.749971,574.9995,24.999989,43.749962,506.24955,793.749305,6812.494081,0.00039
0.39214,0.567737,0.016884,0.059799,0.163989,0.05902,14.221512,112.49934,1337.49459,24.999954,331.248632,956.246064,1668.743119,2737.488649,0.002356
0.440953,0.320074,0.183642,0.32115,0.443082,0.010002,22.911429,6.666664,913.332374,26.666632,39.999968,839.999111,1046.66553,4086.662369,0.000402
0.431,0.31,0.183,0.322,0.423,0.013,23.0,37.499916,912.498434,24.999973,24.999907,849.998554,1137.497901,4462.493547,0.000442
0.405,0.486,0.067,0.142,0.249,0.038,17.0,83.333128,1499.995077,16.666604,241.665988,1224.995908,1724.994415,3849.987891,0.00128
0.409,0.499,0.058,0.132,0.247,0.035,17.0,58.33318,1399.997615,16.666605,266.66624,1108.331451,1583.330578,3391.660496,0.00122
0.453,0.547,0.0,0.0,0.0,0.179,17.0,249.999063,1468.744976,131.249497,399.998659,899.996933,1949.993501,3031.240396,0.004877
0.496,0.504,0.0,0.028,0.972,0.0,15.0,6.24997,287.498929,37.499883,156.249398,93.749648,412.498601,1981.243857,0.0003
0.439,0.561,0.0,0.63,0.0,0.0,17.0,1066.666103,4999.996938,291.666449,1199.999345,3249.997954,6266.662902,27158.316573,0.001697
0.433,0.564,0.003,0.725,0.0,0.0,17.0,562.499842,4512.498874,362.499912,1187.499716,2862.499285,5437.498623,29312.492651,0.001299
0.436,0.561,0.002,0.66,0.004,0.002,17.0,762.499735,4456.24833,274.999867,1024.999655,2999.998863,5531.247947,26518.739984,0.001436
0.446,0.554,0.0,0.673,0.0,0.0,17.0,756.24985,3931.249182,243.749937,824.999854,2668.749436,4937.498974,26787.494204,0.001259
0.425,0.575,0.0,0.741,0.0,0.211,17.0,112.499978,1162.499788,112.499978,281.249954,737.499861,1562.49971,19124.996158,0.000362
0.42,0.58,0.0,0.913,0.0,0.0,17.0,558.33326,3949.999399,241.666631,949.999844,2666.666273,4841.665947,33816.661059,0.000935
0.424,0.576,0.0,0.154,0.0,0.0,17.0,1474.998317,6262.492775,443.74954,1668.748232,3799.995435,8056.240771,12006.236066,0.006883
0.405,0.595,0.0,0.0,0.0,0.0,17.0,662.498804,3937.493043,174.999685,987.498197,2643.745398,4899.991413,3437.493723,0.013391
0.445,0.419,0.0,0.0,0.0,0.0,17.0,1012.498138,4143.741617,268.749445,1131.247792,2568.744666,5499.989044,4093.742264,0.014972
0.426,0.411,0.163,0.0,0.0,0.0,17.0,49.99974,1237.494741,37.499909,124.999522,1056.245407,1574.993604,1243.745322,0.004306
0.4,0.324,0.0,0.0,0.0,0.0,17.0,868.747962,3912.491089,237.499358,1281.247197,2174.995064,5049.988406,4049.990385,0.015721
